-0.0078125,-0.015625,-0.015625.1,-0.015625.2,-0.0078125.1,-0.023438,-0.015625.3,-0.015625.4,-0.015625.5
0.0,-0.023438,-0.0078125,-0.0078125,-0.015625,-0.015625,-0.015625,-0.0078125,0.0078125
0.0,0.0,-0.023438,-0.015625,-0.0078125,-0.0078125,-0.0078125,-0.0078125,-0.0078125
-0.0078125,0.0,-0.0078125,0.0078125,0.0,-0.023438,-0.023438,-0.015625,-0.0078125
0.0,0.0,-0.015625,-0.023438,-0.015625,-0.0078125,-0.0078125,-0.0078125,0.0
0.0,0.0,0.0078125,-0.023438,-0.015625,-0.0078125,-0.03125,-0.015625,-0.015625
-0.0078125,-0.0078125,0.0,-0.015625,-0.023438,-0.0078125,-0.015625,-0.0078125,-0.0078125
-0.0078125,0.0,0.0078125,-0.015625,-0.015625,-0.015625,-0.015625,-0.0078125,0.0
-0.023438,-0.0078125,-0.015625,0.0,-0.0078125,-0.015625,0.0,-0.0078125,0.0078125
0.0078125,-0.0078125,0.0078125,0.0,-0.015625,0.0,-0.015625,-0.015625,-0.0078125
0.0,-0.0078125,0.0,-0.023438,-0.015625,-0.015625,-0.023438,-0.015625,-0.023438
-0.015625,-0.023438,-0.0078125,0.0,0.0078125,0.0,0.0,-0.015625,-0.0078125
-0.015625,0.0078125,-0.0078125,0.0,0.0,-0.015625,-0.015625,0.0,0.0
0.0,-0.0078125,-0.0078125,-0.039063,-0.0078125,0.0,-0.0078125,0.0,-0.023438
0.0,-0.015625,-0.0078125,-0.015625,-0.015625,-0.015625,-0.0078125,-0.0078125,-0.0078125
-0.0078125,-0.0078125,-0.0078125,-0.023438,-0.023438,-0.0078125,-0.015625,-0.015625,0.0078125
-0.015625,-0.023438,-0.015625,-0.03125,0.0,0.0,0.0,-0.023438,0.0
0.0,-0.0078125,-0.015625,-0.015625,0.0,-0.0078125,-0.03125,-0.023438,-0.0078125
0.0,-0.023438,-0.023438,-0.015625,0.0,0.0078125,-0.015625,-0.023438,-0.023438
-0.0078125,-0.023438,-0.023438,-0.015625,0.0078125,0.0,-0.0078125,0.0,-0.0078125
-0.0078125,-0.0078125,0.0,-0.015625,-0.0078125,0.0,-0.015625,-0.0078125,-0.0078125
-0.0078125,-0.0078125,0.0,0.0078125,0.0,-0.015625,-0.015625,-0.0078125,-0.015625
0.0,-0.0078125,0.0,-0.015625,-0.015625,-0.0078125,0.0,-0.0078125,-0.0078125
-0.015625,-0.0078125,-0.023438,-0.0078125,-0.015625,-0.0078125,-0.0078125,-0.015625,0.0078125
-0.015625,-0.023438,-0.023438,0.0,0.0,0.0,-0.0078125,-0.023438,0.0
0.0078125,-0.015625,0.0,0.0,-0.023438,0.0,-0.015625,-0.015625,-0.0078125
-0.0078125,-0.0078125,0.0,-0.0078125,-0.023438,-0.015625,-0.015625,-0.015625,-0.0078125
-0.015625,-0.0078125,-0.023438,-0.015625,-0.0078125,0.0078125,0.0,-0.015625,0.0
-0.015625,0.0,-0.015625,-0.0078125,0.0,-0.0078125,-0.0078125,-0.0078125,-0.0078125
-0.0078125,-0.0078125,-0.0078125,-0.015625,0.0,-0.023438,-0.015625,0.03125,0.0
0.0,0.0,-0.0078125,0.0,-0.0078125,-0.0078125,-0.0078125,0.0,0.0
-0.023438,-0.0078125,-0.015625,-0.015625,0.0,-0.0078125,-0.015625,-0.0078125,-0.0078125
-0.023438,-0.015625,-0.023438,-0.015625,0.0078125,0.0,-0.0078125,-0.015625,-0.015625
-0.0078125,-0.015625,-0.03125,-0.0078125,-0.015625,-0.0078125,-0.023438,0.0,-0.0078125
-0.015625,-0.0078125,0.0078125,-0.0078125,-0.0078125,-0.015625,-0.015625,0.0,-0.0078125
-0.0078125,-0.015625,-0.0078125,0.015625,-0.0078125,-0.0078125,-0.0078125,0.0,0.0
0.0,-0.0078125,0.0,-0.015625,-0.015625,-0.0078125,-0.0078125,-0.015625,-0.023438
-0.015625,-0.015625,0.0,-0.015625,-0.0078125,-0.015625,-0.0078125,0.0,-0.0078125
0.0078125,-0.0078125,-0.0078125,-0.015625,-0.0078125,-0.0078125,-0.015625,-0.0078125,-0.023438
-0.0078125,-0.0078125,-0.0078125,-0.023438,0.0,-0.0078125,0.0,-0.015625,-0.015625
0.0,-0.015625,-0.0078125,0.0,-0.023438,-0.015625,-0.0078125,0.0,-0.015625
0.0,-0.015625,-0.015625,0.0,0.0,-0.0078125,0.0,-0.023438,-0.023438
-0.015625,0.0,-0.0078125,-0.015625,-0.0078125,0.0078125,-0.015625,0.0,0.0
-0.0078125,-0.015625,-0.023438,0.0,-0.015625,0.0078125,-0.0078125,-0.0078125,-0.015625
0.0,0.0,-0.015625,-0.023438,-0.015625,-0.023438,0.0,-0.0078125,0.0
-0.0078125,-0.0078125,-0.0078125,-0.015625,-0.03125,-0.023438,0.0,0.0,0.0
-0.015625,-0.023438,-0.015625,0.0,-0.023438,-0.015625,-0.015625,-0.015625,0.0
-0.023438,-0.023438,-0.015625,-0.0078125,-0.0078125,0.0,0.0,-0.0078125,0.0
-0.015625,-0.0078125,-0.0078125,-0.015625,0.0,-0.0078125,-0.0078125,-0.0078125,-0.015625
-0.03125,0.0,-0.0078125,-0.0078125,-0.0078125,-0.015625,-0.023438,-0.0078125,-0.0078125
-0.0078125,0.0,-0.015625,-0.015625,0.0,-0.0078125,-0.0078125,-0.015625,-0.015625
-0.0078125,-0.023438,-0.0078125,-0.015625,0.0,-0.0078125,-0.0078125,-0.015625,-0.0078125
-0.015625,0.0,0.0,0.0,-0.015625,-0.023438,-0.015625,-0.023438,-0.015625
-0.015625,-0.0078125,-0.023438,-0.0078125,0.0,-0.015625,-0.0078125,0.0,0.0
-0.0078125,-0.015625,-0.0078125,-0.0078125,0.0,-0.0078125,-0.023438,0.0,-0.0078125
-0.0078125,-0.0078125,-0.0078125,-0.0078125,-0.0078125,-0.0078125,-0.0078125,-0.0078125,-0.023438
-0.023438,-0.023438,-0.023438,-0.0078125,-0.0078125,0.0078125,-0.015625,-0.023438,-0.015625
-0.015625,-0.015625,0.0078125,0.0,0.0,-0.015625,-0.0078125,-0.023438,-0.0078125
-0.015625,0.0,-0.015625,-0.015625,0.0,-0.015625,-0.0078125,0.0,0.0
-0.0078125,-0.023438,0.0078125,0.0,-0.0078125,-0.0078125,-0.015625,-0.0078125,-0.023438
-0.023438,0.0,-0.015625,0.0,-0.015625,-0.023438,-0.03125,-0.023438,-0.015625
-0.0078125,-0.0078125,-0.015625,-0.023438,-0.0078125,-0.0078125,0.0,0.0,-0.0078125
-0.0078125,-0.0078125,-0.0078125,-0.015625,-0.015625,-0.023438,0.0078125,-0.023438,-0.023438
-0.0078125,-0.015625,-0.0078125,-0.0078125,-0.0078125,-0.015625,-0.0078125,-0.0078125,-0.0078125
-0.015625,-0.0078125,-0.0078125,-0.0078125,0.0,0.0,0.0,-0.0078125,0.0
-0.015625,-0.015625,0.0,-0.0078125,0.0,0.0078125,0.0,-0.015625,-0.0078125
0.0,-0.015625,-0.0078125,0.0,-0.015625,0.0,0.0,-0.039063,-0.0078125
-0.015625,-0.015625,-0.015625,-0.0078125,-0.0078125,-0.0078125,-0.0078125,-0.015625,-0.0078125
-0.015625,-0.0078125,-0.015625,-0.0078125,-0.0078125,0.0,-0.023438,-0.0078125,-0.0078125
0.0,0.0,-0.0078125,0.0,0.0,-0.015625,-0.0078125,-0.0078125,-0.023438
-0.0078125,-0.023438,0.0,-0.015625,0.0,-0.015625,-0.015625,-0.015625,-0.0078125
-0.0078125,-0.023438,-0.015625,-0.015625,-0.015625,-0.0078125,0.0078125,-0.0078125,0.0
-0.023438,-0.0078125,-0.015625,-0.015625,-0.0078125,-0.0078125,-0.0078125,0.0,-0.023438
-0.0078125,-0.0078125,0.0078125,0.0078125,0.0,-0.023438,-0.0078125,-0.015625,-0.0078125
-0.0078125,-0.015625,-0.023438,-0.015625,-0.015625,0.0,-0.015625,0.0,-0.0078125
0.0078125,-0.0078125,-0.0078125,-0.0078125,-0.0078125,-0.015625,-0.0078125,-0.0078125,-0.015625
0.0,0.0,-0.0078125,-0.023438,-0.015625,-0.015625,-0.015625,0.0078125,-0.0078125
0.0,-0.015625,0.0078125,-0.015625,0.0,-0.0078125,-0.0078125,0.0,-0.0078125
-0.015625,0.0,0.0,-0.0078125,0.0,-0.0078125,-0.0078125,-0.0078125,-0.0078125
-0.0078125,0.0078125,-0.0078125,0.0,-0.023438,-0.0078125,-0.03125,0.0,-0.0078125
-0.015625,-0.0078125,-0.023438,0.0,-0.015625,-0.0078125,-0.0078125,0.0078125,-0.023438
-0.015625,-0.015625,-0.0078125,-0.015625,-0.015625,0.0,-0.015625,0.015625,0.0
-0.015625,-0.015625,-0.015625,0.0,-0.0078125,-0.015625,-0.015625,-0.0078125,0.0
0.0,0.0,0.0,-0.015625,-0.0078125,0.0,-0.0078125,0.0,0.0
-0.015625,-0.023438,-0.015625,-0.015625,0.0,0.0,0.0,-0.0078125,-0.0078125
0.0,-0.023438,-0.0078125,-0.0078125,-0.015625,-0.015625,0.0,-0.015625,-0.0078125
-0.0078125,-0.015625,0.0,0.0,0.0,-0.015625,-0.0078125,-0.015625,0.0078125
-0.023438,-0.0078125,-0.023438,-0.0078125,-0.0078125,-0.0078125,-0.015625,0.0,0.0
-0.015625,-0.023438,0.0,-0.0078125,0.0,-0.0078125,-0.015625,-0.015625,-0.0078125
-0.015625,0.0078125,-0.015625,-0.0078125,-0.023438,-0.015625,-0.0078125,-0.015625,0.0078125
-0.0078125,-0.015625,-0.015625,-0.015625,-0.015625,0.0,-0.023438,-0.015625,0.0
-0.0078125,0.0,-0.0078125,-0.0078125,0.0078125,0.0078125,-0.0078125,0.0,-0.023438
-0.0078125,0.0078125,-0.0078125,-0.015625,-0.023438,-0.023438,-0.023438,-0.015625,0.0
-0.015625,-0.0078125,-0.0078125,-0.023438,-0.0078125,0.0078125,0.0,0.0,-0.0078125
0.0,-0.0078125,-0.0078125,-0.023438,0.0,-0.0078125,-0.0078125,-0.015625,-0.023438
-0.0078125,0.0,0.0078125,-0.0078125,-0.015625,-0.023438,-0.015625,-0.0078125,-0.0078125
-0.0078125,-0.015625,-0.0078125,-0.015625,0.015625,-0.015625,-0.0078125,0.0,-0.015625
-0.015625,-0.015625,-0.0078125,-0.0078125,0.0,-0.015625,-0.0078125,0.0,-0.023438
-0.0078125,0.0,-0.015625,-0.015625,0.015625,-0.015625,0.0,-0.0078125,-0.0078125
-0.03125,-0.0078125,-0.015625,-0.0078125,-0.0078125,-0.0078125,-0.015625,-0.015625,-0.0078125
-0.0078125,-0.0078125,-0.0078125,-0.0078125,-0.015625,-0.0078125,-0.0078125,-0.0078125,-0.015625
-0.0078125,-0.015625,-0.0078125,-0.0078125,-0.0078125,-0.023438,-0.015625,-0.0078125,-0.015625
-0.023438,-0.0078125,-0.0078125,-0.0078125,-0.015625,-0.0078125,-0.0078125,-0.015625,-0.0078125
-0.015625,0.0,-0.0078125,-0.015625,-0.0078125,-0.0078125,0.0,0.0,-0.0078125
-0.0078125,-0.015625,-0.023438,0.0,-0.0078125,-0.023438,0.0078125,-0.0078125,-0.0078125
-0.0078125,0.0,-0.0078125,-0.015625,-0.0078125,-0.0078125,-0.015625,0.0,-0.023438
0.0,-0.0078125,0.0,0.0,-0.015625,-0.0078125,-0.0078125,0.0,-0.0078125
-0.0078125,-0.015625,-0.015625,-0.0078125,0.0078125,0.0078125,-0.0078125,-0.0078125,-0.023438
-0.0078125,-0.0078125,0.0,0.0,-0.0078125,-0.015625,-0.0078125,0.0,0.0
-0.015625,-0.0078125,-0.0078125,-0.0078125,-0.023438,-0.015625,-0.0078125,0.0,0.0
-0.015625,0.0078125,0.0,-0.0078125,0.0,-0.0078125,-0.015625,-0.0078125,-0.023438
0.0,-0.023438,-0.015625,-0.015625,0.0,0.0,-0.0078125,0.0,-0.0078125
-0.0078125,-0.015625,-0.0078125,-0.0078125,-0.015625,-0.0078125,-0.0078125,-0.015625,-0.015625
-0.015625,-0.0078125,-0.023438,-0.0078125,-0.015625,-0.0078125,-0.0078125,0.0,-0.0078125
-0.015625,0.0,0.0,-0.023438,-0.0078125,-0.023438,-0.0078125,0.0,0.0
-0.0078125,-0.0078125,-0.015625,-0.015625,-0.023438,-0.0078125,0.0,-0.0078125,-0.0078125
-0.0078125,-0.015625,-0.0078125,-0.015625,-0.015625,-0.015625,-0.023438,-0.0078125,-0.015625
-0.015625,-0.0078125,-0.0078125,-0.0078125,-0.0078125,-0.023438,0.0,-0.0078125,-0.0078125
-0.0078125,-0.0078125,0.0,-0.015625,-0.0078125,-0.0078125,-0.015625,-0.0078125,-0.015625
-0.015625,-0.0078125,-0.0078125,0.0,0.0,0.015625,-0.023438,-0.015625,-0.0078125
-0.015625,0.0078125,-0.023438,-0.0078125,0.0,0.0078125,0.0,0.0,-0.0078125
-0.023438,0.0,-0.0078125,0.0078125,-0.0078125,-0.023438,-0.015625,0.0,-0.0078125
-0.015625,-0.0078125,-0.0078125,0.0,-0.0078125,-0.0078125,-0.015625,-0.0078125,-0.015625
-0.0078125,-0.0078125,-0.023438,0.0,0.0,0.0,0.0,-0.0078125,-0.023438
-0.015625,-0.015625,-0.0078125,-0.015625,-0.0078125,-0.015625,-0.015625,-0.0078125,-0.023438
0.0,-0.023438,0.0,-0.015625,0.0,-0.023438,0.0,0.0078125,-0.015625
0.0,-0.0078125,-0.015625,-0.03125,0.0078125,0.0,-0.015625,-0.015625,-0.0078125
-0.015625,-0.015625,0.0,-0.023438,-0.015625,-0.015625,-0.0078125,-0.0078125,-0.015625
-0.0078125,0.0,-0.015625,-0.0078125,-0.015625,0.0,0.0,-0.0078125,-0.023438
0.0,-0.015625,0.0,-0.0078125,-0.023438,-0.023438,-0.0078125,-0.0078125,-0.0078125
-0.0078125,-0.0078125,-0.015625,-0.023438,0.0078125,-0.0078125,-0.0078125,-0.023438,-0.0078125
0.0,-0.015625,-0.015625,-0.0078125,0.0078125,0.0078125,-0.0078125,-0.015625,0.0
-0.015625,-0.015625,0.0,0.0,-0.0078125,-0.015625,0.0,-0.0078125,-0.0078125
-0.015625,-0.015625,-0.015625,-0.015625,0.0078125,-0.0078125,-0.0078125,-0.0078125,-0.015625
0.0,-0.0078125,-0.0078125,-0.03125,0.0,-0.015625,-0.023438,0.0,0.0
0.0,-0.0078125,0.0,0.0078125,0.0,-0.015625,0.0,-0.015625,-0.023438
0.0,-0.0078125,-0.0078125,-0.023438,0.0,-0.015625,-0.015625,-0.0078125,0.0078125
-0.0078125,-0.0078125,-0.0078125,-0.015625,-0.015625,0.0,-0.0078125,0.0,-0.023438
-0.0078125,0.0078125,-0.023438,-0.0078125,-0.023438,0.0,-0.0078125,0.0,-0.0078125
-0.015625,-0.015625,-0.0078125,-0.015625,-0.0078125,-0.0078125,-0.0078125,0.0,-0.0078125
-0.0078125,-0.0078125,-0.0078125,-0.0078125,-0.015625,-0.015625,-0.015625,-0.015625,-0.0078125
-0.0078125,0.0,-0.03125,-0.015625,0.0,0.0,0.0,-0.015625,0.0
-0.023438,0.0,-0.0078125,0.0,-0.015625,-0.023438,-0.0078125,-0.0078125,-0.0078125
-0.015625,0.0078125,0.0,-0.023438,-0.03125,-0.0078125,-0.015625,0.015625,-0.023438
-0.015625,-0.015625,-0.015625,0.0078125,-0.0078125,-0.0078125,-0.0078125,-0.0078125,-0.015625
-0.015625,-0.015625,-0.0078125,0.015625,0.0,0.0,-0.023438,-0.0078125,-0.0078125
0.0,-0.015625,0.0,-0.015625,0.0,-0.023438,-0.023438,-0.023438,-0.015625
-0.015625,-0.023438,-0.023438,-0.0078125,-0.0078125,-0.0078125,0.0,-0.0078125,-0.0078125
0.0078125,-0.0078125,-0.0078125,-0.015625,-0.0078125,-0.015625,-0.0078125,-0.015625,-0.015625
0.0,-0.015625,-0.015625,0.0,-0.0078125,-0.015625,-0.015625,-0.015625,-0.015625
0.0,0.0,-0.015625,-0.0078125,-0.0078125,0.0078125,-0.015625,-0.0078125,0.0
-0.0078125,-0.0078125,-0.015625,-0.0078125,-0.0078125,-0.023438,0.0,-0.015625,-0.015625
-0.0078125,-0.015625,-0.015625,0.0,-0.0078125,0.0,-0.0078125,-0.0078125,0.0
-0.023438,0.0,-0.023438,0.0,-0.023438,-0.023438,-0.023438,0.0,-0.015625
-0.0078125,-0.0078125,-0.015625,-0.0078125,0.0078125,-0.0078125,0.0,-0.0078125,0.0078125
0.0,0.0,-0.0078125,-0.023438,0.0,-0.0078125,-0.0078125,-0.015625,0.0
-0.0078125,0.0,-0.015625,-0.023438,0.0078125,-0.015625,-0.0078125,-0.015625,0.0
-0.015625,-0.015625,-0.0078125,0.0,-0.0078125,-0.015625,-0.015625,-0.015625,-0.0078125
-0.023438,-0.015625,0.0,-0.015625,-0.023438,-0.0078125,-0.0078125,-0.015625,-0.0078125
-0.03125,-0.0078125,-0.0078125,-0.0078125,-0.0078125,-0.023438,-0.023438,0.0,-0.0078125
-0.023438,-0.015625,-0.0078125,0.0,0.0,-0.015625,0.0,-0.015625,-0.015625
-0.015625,-0.015625,-0.0078125,-0.023438,0.0,-0.015625,-0.03125,-0.015625,0.0
-0.0078125,-0.015625,-0.0078125,-0.015625,-0.0078125,-0.0078125,0.0,-0.0078125,0.0
-0.0078125,-0.015625,-0.015625,0.0,0.0,-0.015625,-0.0078125,-0.023438,-0.0078125
-0.023438,0.0,-0.0078125,-0.0078125,-0.023438,-0.0078125,-0.015625,-0.023438,0.0
-0.0078125,-0.023438,-0.0078125,-0.015625,-0.015625,0.0,-0.0078125,-0.015625,0.0
-0.015625,-0.0078125,0.0,-0.0078125,-0.015625,0.0078125,-0.0078125,-0.015625,-0.03125
0.0078125,-0.015625,-0.023438,-0.023438,-0.0078125,-0.0078125,-0.03125,-0.015625,0.0
-0.023438,-0.023438,-0.0078125,-0.0078125,-0.015625,-0.015625,0.015625,-0.0078125,-0.03125
-0.03125,0.0,-0.023438,-0.023438,-0.015625,0.0,-0.023438,-0.0078125,0.0078125
-0.0078125,-0.015625,-0.0078125,0.0,0.0078125,0.0,-0.023438,0.0,0.0078125
0.0,-0.015625,-0.0078125,-0.0078125,-0.015625,-0.015625,-0.0078125,-0.015625,-0.0078125
-0.015625,-0.023438,0.0,-0.015625,-0.023438,-0.0078125,-0.023438,0.0,0.0
-0.0078125,-0.023438,-0.023438,-0.0078125,0.0,-0.0078125,-0.015625,-0.0078125,-0.0078125
-0.0078125,-0.0078125,0.0,0.0,-0.0078125,-0.023438,-0.0078125,-0.015625,-0.023438
0.0078125,-0.015625,0.0,-0.015625,-0.0078125,-0.0078125,-0.0078125,-0.023438,0.0078125
-0.015625,0.0,0.0,-0.015625,-0.0078125,0.0,-0.023438,-0.0078125,-0.015625
-0.015625,-0.015625,0.0,-0.0078125,-0.0078125,-0.0078125,-0.0078125,-0.0078125,-0.0078125
-0.0078125,-0.015625,-0.0078125,0.0078125,-0.015625,-0.0078125,-0.015625,-0.0078125,-0.0078125
0.0,-0.0078125,-0.015625,0.0,-0.0078125,-0.0078125,-0.023438,-0.023438,-0.015625
-0.015625,0.0,0.0,0.0,-0.0078125,0.0,-0.0078125,-0.023438,0.0
-0.015625,-0.0078125,-0.0078125,-0.0078125,0.0,0.0,-0.015625,-0.015625,-0.0078125
-0.015625,-0.0078125,-0.0078125,-0.015625,0.0078125,-0.0078125,0.0,0.0,-0.0078125
0.0,-0.015625,-0.0078125,-0.023438,-0.0078125,0.0,-0.0078125,-0.015625,-0.023438
-0.0078125,-0.015625,0.0078125,-0.015625,-0.0078125,-0.023438,0.0,-0.0078125,0.0
-0.015625,-0.0078125,-0.0078125,-0.015625,-0.015625,0.0,0.0,-0.015625,-0.015625
-0.0078125,-0.015625,-0.015625,-0.0078125,-0.015625,-0.023438,-0.023438,-0.015625,0.0
-0.023438,-0.015625,-0.0078125,-0.015625,-0.015625,-0.0078125,0.0,-0.0078125,-0.015625
0.0,-0.015625,-0.0078125,0.0,-0.0078125,-0.0078125,-0.0078125,-0.015625,-0.015625
-0.015625,-0.0078125,-0.015625,-0.015625,-0.015625,0.0,-0.015625,-0.0078125,-0.0078125
-0.023438,0.0,-0.0078125,-0.015625,-0.015625,-0.023438,0.0,-0.023438,-0.015625
-0.0078125,0.0,-0.0078125,-0.0078125,0.0078125,-0.0078125,0.0078125,0.0,-0.023438
-0.03125,-0.0078125,-0.0078125,0.0078125,0.0,-0.0078125,-0.015625,-0.0078125,-0.0078125
-0.0078125,-0.0078125,0.0078125,0.0,-0.0078125,-0.0078125,-0.015625,-0.0078125,-0.023438
-0.015625,-0.015625,-0.0078125,-0.0078125,0.0,-0.0078125,-0.023438,-0.015625,0.0
-0.0078125,0.0078125,-0.0078125,0.0,0.0,0.0,0.0078125,-0.015625,-0.023438
-0.015625,0.0078125,-0.0078125,-0.015625,-0.015625,-0.0078125,-0.015625,-0.0078125,-0.015625
-0.0078125,0.0078125,0.0,-0.0078125,-0.015625,0.0,-0.015625,-0.023438,-0.0078125
0.0,-0.0078125,-0.0078125,0.0,-0.0078125,-0.0078125,-0.023438,-0.015625,0.0078125
0.0,-0.023438,-0.0078125,0.0078125,-0.0078125,-0.015625,-0.0078125,0.0,-0.0078125
-0.015625,0.0,0.0078125,-0.015625,-0.015625,-0.0078125,-0.015625,-0.015625,-0.0078125
-0.0078125,0.0,0.0,-0.023438,0.0,-0.023438,-0.0078125,-0.015625,-0.023438
0.0,-0.0078125,-0.0078125,-0.015625,-0.015625,-0.023438,0.0,-0.0078125,0.0
-0.023438,0.0078125,-0.023438,0.0,0.0,0.0,-0.015625,-0.015625,-0.023438
-0.015625,-0.015625,-0.015625,-0.015625,0.0078125,-0.0078125,0.0,-0.023438,0.0
0.0,-0.0078125,-0.0078125,-0.0078125,-0.015625,-0.0078125,-0.0078125,-0.023438,-0.0078125
